alias_id,plant_id,alias,jazyk,typ_aliasu,je_preferovany,pocet_vyskytu
plant_taraxacum_officinale_agg_cz_1,plant_taraxacum_officinale_agg,pampeliška lékařská,cs,cesky_nazev,True,6
plant_taraxacum_officinale_agg_cz_2,plant_taraxacum_officinale_agg,pampeliška / smetanka,cs,cesky_nazev,False,1
plant_taraxacum_officinale_agg_la_1,plant_taraxacum_officinale_agg,Taraxacum officinale agg.,la,vedecky_nazev,True,7
plant_thymus_serpyllum_agg_cz_1,plant_thymus_serpyllum_agg,mateřídouška,cs,cesky_nazev,True,4
plant_thymus_serpyllum_agg_la_1,plant_thymus_serpyllum_agg,Thymus serpyllum agg.,la,vedecky_nazev,True,4
plant_thymus_vulgaris_cz_1,plant_thymus_vulgaris,tymián obecný,cs,cesky_nazev,True,1
plant_thymus_vulgaris_la_1,plant_thymus_vulgaris,Thymus vulgaris,la,vedecky_nazev,True,1
plant_tilia_cordata_tilia_platyphyllos_cz_1,plant_tilia_cordata_tilia_platyphyllos,lípa srdčitá / lípa velkolistá,cs,cesky_nazev,True,4
plant_tilia_cordata_tilia_platyphyllos_la_1,plant_tilia_cordata_tilia_platyphyllos,Tilia cordata / Tilia platyphyllos,la,vedecky_nazev,True,4
plant_tilia_spp_cz_1,plant_tilia_spp,lípa,cs,cesky_nazev,True,2
plant_tilia_spp_la_1,plant_tilia_spp,Tilia spp.,la,vedecky_nazev,True,2
plant_ulmus_glabra_cz_1,plant_ulmus_glabra,jilm horský,cs,cesky_nazev,True,1
plant_ulmus_glabra_la_1,plant_ulmus_glabra,Ulmus glabra,la,vedecky_nazev,True,1
plant_urtica_dioica_cz_1,plant_urtica_dioica,kopřiva dvoudomá,cs,cesky_nazev,True,4
plant_urtica_dioica_la_1,plant_urtica_dioica,Urtica dioica,la,vedecky_nazev,True,4
plant_vaccinium_myrtillus_cz_1,plant_vaccinium_myrtillus,borůvka černá,cs,cesky_nazev,True,3
plant_vaccinium_myrtillus_la_1,plant_vaccinium_myrtillus,Vaccinium myrtillus,la,vedecky_nazev,True,3
plant_verbascum_densiflorum_bertol_v_thapsus_l_v_phlomoides_l_cz_1,plant_verbascum_densiflorum_bertol_v_thapsus_l_v_phlomoides_l,divizna,cs,cesky_nazev,True,3
plant_verbascum_densiflorum_bertol_v_thapsus_l_v_phlomoides_l_la_1,plant_verbascum_densiflorum_bertol_v_thapsus_l_v_phlomoides_l,Verbascum densiflorum Bertol. / V. thapsus L. / V. phlomoides L.,la,vedecky_nazev,True,3
plant_veronica_beccabunga_cz_1,plant_veronica_beccabunga,rozrazil potoční,cs,cesky_nazev,True,1
plant_veronica_beccabunga_la_1,plant_veronica_beccabunga,Veronica beccabunga,la,vedecky_nazev,True,1
plant_viola_odorata_l_cz_1,plant_viola_odorata_l,violka vonná,cs,cesky_nazev,True,3
plant_viola_odorata_l_la_1,plant_viola_odorata_l,Viola odorata L.,la,vedecky_nazev,True,3
plant_vitis_vinifera_cz_1,plant_vitis_vinifera,réva vinná,cs,cesky_nazev,True,2
plant_vitis_vinifera_la_1,plant_vitis_vinifera,Vitis vinifera,la,vedecky_nazev,True,2
